# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	2	1	23	11	1	0	2	12
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	1	0	24	10	0	0	1	14
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	0	3	17	2	3	0	0	15
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	1	1	15	0	1	0	1	15
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	0	19	14	15	14	14	0	19	1
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	0	11	10	35	14	10	0	11	21
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	1	1	25	14	1	0	1	11
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	2	0	20	8	0	0	2	12
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	22	8	0	0	0	14
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	2	19	5	2	1	0	14
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	4	5	26	16	5	0	4	10
