# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	0	0	21	19	0	0	0	0	2
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	3	2	16	14	0	2	0	3	2
N	gene-N	TRANSCRIPT_gene-N	protein_coding	1	0	4	16	6	1	4	0	0	10
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	2	1	17	3	0	1	0	2	14
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	2	14	19	10	10	1	19	1	14	0
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	1	7	10	18	2	1	10	0	7	16
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	0	22	19	0	0	0	0	3
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	1	0	20	13	0	0	0	1	7
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	21	13	0	0	0	0	8
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	1	19	11	0	1	1	0	8
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	0	2	31	19	0	2	0	0	12
