# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	2	1	26	0	0	12	0	1	0	2	14
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	2	0	27	0	0	10	0	0	0	2	17
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	0	3	20	0	0	2	0	3	0	0	18
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	1	1	17	0	0	0	0	1	0	1	17
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	1	25	18	11	0	1	10	1	17	0	25	1
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	0	7	8	41	0	0	17	0	8	0	7	24
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	1	1	2	26	0	0	15	0	2	1	1	11
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	2	1	22	0	0	7	0	1	0	2	15
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	25	0	0	7	0	0	0	0	18
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	1	23	0	0	5	0	1	1	0	18
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	4	6	26	1	0	19	0	5	0	4	7
