# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	gene-E	TRANSCRIPT_gene-E	protein_coding	0	2	1	24	0	0	13	1	0	2	11
M	gene-M	TRANSCRIPT_gene-M	protein_coding	0	2	0	25	0	0	11	0	0	2	14
N	gene-N	TRANSCRIPT_gene-N	protein_coding	0	0	4	17	0	0	3	4	0	0	14
ORF10	gene-ORF10	TRANSCRIPT_gene-ORF10	protein_coding	0	1	1	16	0	0	1	1	0	1	15
ORF1a	gene-ORF1a	TRANSCRIPT_gene-ORF1a	protein_coding	0	22	19	11	0	1	10	18	0	22	1
ORF1b	gene-ORF1b	TRANSCRIPT_gene-ORF1b	protein_coding	0	7	9	37	0	0	14	9	0	7	23
ORF3a	gene-ORF3a	TRANSCRIPT_gene-ORF3a	protein_coding	0	0	2	27	0	0	16	2	0	0	11
ORF6	gene-ORF6	TRANSCRIPT_gene-ORF6	protein_coding	0	2	0	21	0	0	9	0	0	2	12
ORF7a	gene-ORF7a	TRANSCRIPT_gene-ORF7a	protein_coding	0	0	0	23	0	0	9	0	0	0	14
ORF8	gene-ORF8	TRANSCRIPT_gene-ORF8	protein_coding	1	0	1	21	0	0	7	1	1	0	14
S	gene-S	TRANSCRIPT_gene-S	protein_coding	0	3	6	26	1	0	18	5	0	3	8
